Test Time	Applied Command	CASModeExternalEcho	CASModeExecution	CASTime	CASCBITResult	CASdiagnostic	Rezerve	CASModeStatus	CASBusVoltage	CASBusCurrent	CASTemperature	CASFinPositionIE	CASFinVelocityIE	CASFinPositionAAE	CASFinPositionDAE	CASMotorCurrent	CASPrevMsgStatus	CASPrevMsgTimeStamp	CASErrorCounter	CASRxMsgCounter
0.0000	0.0000	0.0000	1.0000	0.0000	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	11.7156	0.1943	97.1330	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
0.0020	0.0000	0.0000	1.0000	0.0020	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	12.6403	0.3922	98.9758	0.0000	0.0000	0.0000	0.0000	2.0040	0.0000	2.0000
0.0040	0.0000	0.0000	1.0000	0.0040	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	12.3543	0.5764	92.0751	0.0000	0.0000	0.0000	0.0000	4.0080	0.0000	3.0000
0.0060	0.0000	0.0000	1.0000	0.0060	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	12.9352	0.7879	105.7680	0.0000	0.0000	0.0000	0.0000	6.0120	0.0000	4.0000
0.0080	0.0000	0.0000	1.0000	0.0080	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	12.6803	1.0093	110.6935	0.0000	0.0000	0.0000	0.0000	8.0160	0.0000	5.0000
0.0100	0.0000	0.0000	1.0000	0.0100	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	13.2737	1.2203	105.4947	0.0000	0.0000	0.0000	0.0000	10.0200	0.0000	6.0000
0.0120	0.0000	0.0000	1.0000	0.0120	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	13.0484	1.4366	108.1605	0.0000	0.0000	0.0000	0.0000	12.0240	0.0000	7.0000
0.0140	0.0000	0.0000	1.0000	0.0140	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	13.0958	1.6589	111.1587	0.0000	0.0000	0.0000	0.0000	14.0281	0.0000	8.0000
0.0160	0.0000	0.0000	1.0000	0.0160	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	14.3240	1.8671	104.1144	0.0000	0.0000	0.0000	0.0000	16.0321	0.0000	9.0000
0.0180	0.0000	0.0000	1.0000	0.0180	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	13.1640	2.0882	110.5346	0.0000	0.0000	0.0000	0.0000	18.0361	0.0000	10.0000
0.0200	0.0000	0.0000	1.0000	0.0200	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	13.4184	2.3132	112.5004	0.0000	0.0000	0.0000	0.0000	20.0401	0.0000	11.0000
0.0220	0.0000	0.0000	1.0000	0.0220	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	14.3592	2.5256	106.1849	0.0000	0.0000	0.0000	0.0000	22.0441	0.0000	12.0000
0.0240	0.0000	0.0000	1.0000	0.0240	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	13.7821	2.7478	111.1100	0.0000	0.0000	0.0000	0.0000	24.0481	0.0000	13.0000
0.0261	0.0000	0.0000	1.0000	0.0261	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	14.0391	2.9784	115.2721	0.0000	0.0000	0.0000	0.0000	26.0521	0.0000	14.0000
0.0281	0.0000	0.0000	1.0000	0.0281	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	13.5312	3.1980	109.8255	0.0000	0.0000	0.0000	0.0000	28.0561	0.0000	15.0000
0.0301	0.0000	0.0000	1.0000	0.0301	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	12.8426	3.4349	118.4547	0.0000	0.0000	0.0000	0.0000	30.0601	0.0000	16.0000
0.0321	0.0000	0.0000	1.0000	0.0321	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	13.9467	3.6617	113.4116	0.0000	0.0000	0.0000	0.0000	32.0641	0.0000	17.0000
0.0341	0.0000	0.0000	1.0000	0.0341	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	14.0934	3.9036	120.9259	0.0000	0.0000	0.0000	0.0000	34.0681	0.0000	18.0000
0.0361	0.0000	0.0000	1.0000	0.0361	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	14.0476	4.1371	116.7525	0.0000	0.0000	0.0000	0.0000	36.0721	0.0000	19.0000
0.0381	0.0000	0.0000	1.0000	0.0381	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	13.2375	4.3775	120.1894	0.0000	0.0000	0.0000	0.0000	38.0762	0.0000	20.0000
0.0401	0.0000	0.0000	1.0000	0.0401	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	12.6134	4.6337	128.1163	0.0000	0.0000	0.0000	0.0000	40.0802	0.0000	21.0000
0.0421	0.0000	0.0000	1.0000	0.0421	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	12.4586	4.8906	128.4624	0.0000	0.0000	0.0000	0.0000	42.0842	0.0000	22.0000
0.0441	0.0000	0.0000	1.0000	0.0441	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	11.6655	5.1333	121.3443	0.0000	0.0000	0.0000	0.0000	44.0882	0.0000	23.0000
0.0461	0.0000	0.0000	1.0000	0.0461	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	12.4635	5.3838	125.2216	0.0000	0.0000	0.0000	0.0000	46.0922	0.0000	24.0000
0.0481	0.0000	0.0000	1.0000	0.0481	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	11.5696	5.6333	124.7672	0.0000	0.0000	0.0000	0.0000	48.0962	0.0000	25.0000
0.0501	0.0000	0.0000	1.0000	0.0501	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	11.4190	5.8778	122.2700	0.0000	0.0000	0.0000	0.0000	50.1002	0.0000	26.0000
0.0521	0.0000	0.0000	1.0000	0.0521	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	11.6166	6.1356	128.8851	0.0000	0.0000	0.0000	0.0000	52.1042	0.0000	27.0000
0.0541	0.0000	0.0000	1.0000	0.0541	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	11.1870	6.3833	123.8651	0.0000	0.0000	0.0000	0.0000	54.1082	0.0000	28.0000
0.0561	0.0000	0.0000	1.0000	0.0561	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	11.4020	6.6345	125.5923	0.0000	0.0000	0.0000	0.0000	56.1122	0.0000	29.0000
0.0581	0.0000	0.0000	1.0000	0.0581	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	11.0208	6.8811	123.2944	0.0000	0.0000	0.0000	0.0000	58.1162	0.0000	30.0000
0.0601	0.0000	0.0000	1.0000	0.0601	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	10.8684	7.1299	124.3866	0.0000	0.0000	0.0000	0.0000	60.1202	0.0000	31.0000
0.0621	0.0000	0.0000	1.0000	0.0621	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	10.2788	7.3624	116.2356	0.0000	0.0000	0.0000	0.0000	62.1242	0.0000	32.0000
0.0641	0.0000	0.0000	1.0000	0.0641	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	10.7259	7.5979	117.7729	0.0000	0.0000	0.0000	0.0000	64.1283	0.0000	33.0000
0.0661	0.0000	0.0000	1.0000	0.0661	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	9.7940	7.8204	111.2395	0.0000	0.0000	0.0000	0.0000	66.1323	0.0000	34.0000
0.0681	0.0000	0.0000	1.0000	0.0681	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	10.8269	8.0510	115.3055	0.0000	0.0000	0.0000	0.0000	68.1363	0.0000	35.0000
0.0701	0.0000	0.0000	1.0000	0.0701	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	10.0241	8.2821	115.5539	0.0000	0.0000	0.0000	0.0000	70.1403	0.0000	36.0000
0.0721	0.0000	0.0000	1.0000	0.0721	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	10.7602	8.5124	115.1531	0.0000	0.0000	0.0000	0.0000	72.1443	0.0000	37.0000
0.0741	0.0000	0.0000	1.0000	0.0741	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	9.9029	8.7356	111.6104	0.0000	0.0000	0.0000	0.0000	74.1483	0.0000	38.0000
0.0762	0.0000	0.0000	1.0000	0.0762	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	9.7700	8.9691	116.7270	0.0000	0.0000	0.0000	0.0000	76.1523	0.0000	39.0000
0.0782	0.0000	0.0000	1.0000	0.0782	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	10.2324	9.2192	125.0834	0.0000	0.0000	0.0000	0.0000	78.1563	0.0000	40.0000
0.0802	0.0000	0.0000	1.0000	0.0802	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	9.7113	9.4526	116.6778	0.0000	0.0000	0.0000	0.0000	80.1603	0.0000	41.0000
0.0822	0.0000	0.0000	1.0000	0.0822	65.0000	1.0000	0.0000	1365.0000	0.0000	0.0000	9.4541	9.6716	109.4821	0.0000	0.0000	0.0000	0.0000	82.1643	0.0000	42.0000
